Freq.	V(vout)
1.00000000000000e-07	(-1.73578943979593e-13dB,-1.14479999999998e-05°)
1.00230523807790e-07	(-1.74543271446147e-13dB,-1.14743903655156e-05°)
1.00461579027839e-07	(-1.76471926379253e-13dB,-1.15008415671069e-05°)
1.00693166885180e-07	(-1.76471926379253e-13dB,-1.15273537450153e-05°)
1.00925288607668e-07	(-1.76471926379253e-13dB,-1.15539270398057e-05°)
1.01157945425990e-07	(-1.77436253845807e-13dB,-1.15805615923672e-05°)
1.01391138573668e-07	(-1.77436253845807e-13dB,-1.16072575439133e-05°)
1.01624869287070e-07	(-1.78400581312360e-13dB,-1.16340150359836e-05°)
1.01859138805412e-07	(-1.81293563712020e-13dB,-1.16608342104434e-05°)
1.02093948370768e-07	(-1.81293563712020e-13dB,-1.16877152094854e-05°)
1.02329299228075e-07	(-1.82257891178573e-13dB,-1.17146581756299e-05°)
1.02565192625141e-07	(-1.82257891178573e-13dB,-1.17416632517259e-05°)
1.02801629812647e-07	(-1.82257891178573e-13dB,-1.17687305809517e-05°)
1.03038612044162e-07	(-1.84186546111680e-13dB,-1.17958603068154e-05°)
1.03276140576140e-07	(-1.84186546111680e-13dB,-1.18230525731563e-05°)
1.03514216667934e-07	(-1.87079528511340e-13dB,-1.18503075241449e-05°)
1.03752841581801e-07	(-1.87079528511340e-13dB,-1.18776253042844e-05°)
1.03992016582906e-07	(-1.88043855977893e-13dB,-1.19050060584109e-05°)
1.04231742939330e-07	(-1.89008183444446e-13dB,-1.19324499316944e-05°)
1.04472021922080e-07	(-1.89008183444446e-13dB,-1.19599570696395e-05°)
1.04712854805090e-07	(-1.89972510911000e-13dB,-1.19875276180865e-05°)
1.04954242865232e-07	(-1.90936838377553e-13dB,-1.20151617232116e-05°)
1.05196187382322e-07	(-1.91901165844106e-13dB,-1.20428595315281e-05°)
1.05438689639126e-07	(-1.92865493310660e-13dB,-1.20706211898869e-05°)
1.05681750921366e-07	(-1.93829820777213e-13dB,-1.20984468454778e-05°)
1.05925372517729e-07	(-1.94794148243766e-13dB,-1.21263366458294e-05°)
1.06169555719872e-07	(-1.96722803176873e-13dB,-1.21542907388108e-05°)
1.06414301822431e-07	(-1.96722803176873e-13dB,-1.21823092726318e-05°)
1.06659612123026e-07	(-1.98651458109979e-13dB,-1.22103923958438e-05°)
1.06905487922266e-07	(-1.98651458109979e-13dB,-1.22385402573408e-05°)
1.07151930523760e-07	(-1.99615785576533e-13dB,-1.22667530063599e-05°)
1.07398941234124e-07	(-2.00580113043086e-13dB,-1.22950307924824e-05°)
1.07646521362983e-07	(-2.00580113043086e-13dB,-1.23233737656341e-05°)
1.07894672222983e-07	(-2.02508767976193e-13dB,-1.23517820760869e-05°)
1.08143395129794e-07	(-2.03473095442746e-13dB,-1.23802558744586e-05°)
1.08392691402120e-07	(-2.04437422909299e-13dB,-1.24087953117145e-05°)
1.08642562361706e-07	(-2.04437422909299e-13dB,-1.24374005391679e-05°)
1.08893009333343e-07	(-2.04437422909299e-13dB,-1.24660717084809e-05°)
1.09144033644875e-07	(-2.07330405308959e-13dB,-1.24948089716651e-05°)
1.09395636627209e-07	(-2.07330405308959e-13dB,-1.25236124810827e-05°)
1.09647819614318e-07	(-2.08294732775513e-13dB,-1.25524823894470e-05°)
1.09900583943252e-07	(-2.09259060242066e-13dB,-1.25814188498233e-05°)
1.10153930954141e-07	(-2.11187715175172e-13dB,-1.26104220156299e-05°)
1.10407861990207e-07	(-2.11187715175172e-13dB,-1.26394920406387e-05°)
1.10662378397766e-07	(-2.13116370108279e-13dB,-1.26686290789761e-05°)
1.10917481526240e-07	(-2.13116370108279e-13dB,-1.26978332851237e-05°)
1.11173172728159e-07	(-2.14080697574832e-13dB,-1.27271048139194e-05°)
1.11429453359173e-07	(-2.16973679974492e-13dB,-1.27564438205579e-05°)
