frequency,magnitude,phase
1.0,9.83043676218118,-101.176082832942
1.25892541179417,11.7657859048553,-104.016514029946
1.58489319246111,13.6650354596781,-107.541548958561
1.99526231496888,15.509468757837,-111.882317992596
2.51188643150958,17.2725353933734,-117.166471060097
3.16227766016838,18.9187448381378,-123.494355536104
3.98107170553497,20.4046384598815,-130.905727088901
5.01187233627272,21.6833207710787,-139.347197764788
6.30957344480194,22.7124915566663,-148.661190162307
7.94328234724282,23.4626360303448,-158.614689876095
10.0,23.9199821874915,-168.959366647817
12.5892541179417,24.0818982889769,-179.483010217845
15.8489319246111,23.9488939601072,-190.014565480638
19.9526231496888,23.5204889411333,-200.385359640857
25.1188643150958,22.798661997493,-210.387882513894
31.6227766016838,21.7957831518786,-219.775620790109
39.8107170553498,20.5398313001083,-228.311168408194
50.1187233627273,19.0721724108878,-235.82759395877702
63.0957344480194,17.439646764879,-242.261240978998
79.4328234724283,15.6863157413121,-247.644018413229
100.0,13.8485413346819,-252.071917684671
125.892541179417,11.9537221866425,-255.67115409928698
158.489319246112,10.021266241555,-258.573267623907
199.526231496888,8.06436799222677,-260.9008377579961
251.188643150958,6.09176004081796,-262.7611736862507
316.227766016838,4.10912255104907,-264.2447991645646
398.107170553498,2.12010937579583,-265.4263728928568
501.187233627273,0.127054324590511,-266.3666164715922
630.957344480194,-1.86855862721184,-267.1144910674035
794.328234724283,-3.86578856429393,-267.7092651089541
1000.0,-5.86403997371176,-268.1823318147219
1258.92541179417,-7.86293638072487,-268.5587428243101
1584.89319246112,-9.86223995651617,-268.8584727157554
1995.26231496888,-11.8618005298387,-269.0974477523226
2511.88643150959,-13.8615233108588,-269.28837645382407
3162.27766016839,-15.8613484858618,-269.4414175603224
3981.07170553498,-17.8612383283944,-269.5647166026695
5011.87233627273,-19.8611690647365,-269.6648374656917
6309.57344480195,-21.8611257458146,-269.7471108279161
7943.28234724283,-23.861099021823,-269.8159174824827
10000.0,-25.8610831246148,-269.87492135068703
12589.2541179417,-27.8610746228644,-269.9272644581867
15848.9319246112,-29.8610716815005,-269.9757341871041
19952.6231496889,-31.8610736656375,-270.0229116749599
25118.8643150959,-33.8610810035444,-270.07130924369983
31622.7766016839,-35.8610952790784,-270.1235041645234
39810.7170553498,-37.8611195735315,-270.182275869335
50118.7233627274,-39.861159130647,-270.2507538971413
63095.7344480195,-41.8612224882774,-270.3325844200871
79432.8234724284,-43.8613233207638,-270.4321241510716
100000.0,-45.8614833892423,-270.55467182805137
125892.541179417,-47.8617372355113,-270.70674934117073
158489.319246112,-49.862139629649,-270.8964469530113
199526.231496889,-51.8627773714496,-271.1338499581607
251188.643150959,-53.8637879742029,-271.4315674350156
316227.766016839,-55.8653892165,-271.8053871300575
398107.170553499,-57.8679258224796,-272.2750831619663
501187.233627274,-59.8719430501674,-272.865403311605
630957.344480196,-61.8783023316824,-273.6072563381117
794328.234724285,-63.88836208245,-274.5390993097053
1000000.0,-65.9042581374661,-275.7084753966284
1258925.41179417,-67.9293331104358,-277.1735462479535
1584893.19246112,-69.9687800667168,-279.0042521729265
1995262.31496889,-72.0305744872119,-281.2823453706619
2511886.43150959,-74.1267458491856,-284.0988959908665
3162277.66016839,-76.2749347105911,-287.5469703355454
3981071.70553499,-78.499907498428,-291.7063778340747
5011872.33627275,-80.8341862482065,-296.6178912195547
6309573.44480196,-83.3163250597612,-302.2485493226952
7943282.34724285,-85.9853003967934,-308.45943372559907
10000000.0,-88.8711232940961,-314.9983355572459
