Freq.	V(n002)
1.00000000000000e+000	(9.83043676218118e+000dB,-1.01176082832942e+002°)
1.25892541179417e+000	(1.17657859048553e+001dB,-1.04016514029946e+002°)
1.58489319246111e+000	(1.36650354596781e+001dB,-1.07541548958561e+002°)
1.99526231496888e+000	(1.55094687578370e+001dB,-1.11882317992596e+002°)
2.51188643150958e+000	(1.72725353933734e+001dB,-1.17166471060097e+002°)
3.16227766016838e+000	(1.89187448381378e+001dB,-1.23494355536104e+002°)
3.98107170553497e+000	(2.04046384598815e+001dB,-1.30905727088901e+002°)
5.01187233627272e+000	(2.16833207710787e+001dB,-1.39347197764788e+002°)
6.30957344480194e+000	(2.27124915566663e+001dB,-1.48661190162307e+002°)
7.94328234724282e+000	(2.34626360303448e+001dB,-1.58614689876095e+002°)
1.00000000000000e+001	(2.39199821874915e+001dB,-1.68959366647817e+002°)
1.25892541179417e+001	(2.40818982889769e+001dB,-1.79483010217845e+002°)
1.58489319246111e+001	(2.39488939601072e+001dB,1.69985434519362e+002°)
1.99526231496888e+001	(2.35204889411333e+001dB,1.59614640359143e+002°)
2.51188643150958e+001	(2.27986619974930e+001dB,1.49612117486106e+002°)
3.16227766016838e+001	(2.17957831518786e+001dB,1.40224379209891e+002°)
3.98107170553498e+001	(2.05398313001083e+001dB,1.31688831591806e+002°)
5.01187233627273e+001	(1.90721724108878e+001dB,1.24172406041223e+002°)
6.30957344480194e+001	(1.74396467648790e+001dB,1.17738759021002e+002°)
7.94328234724283e+001	(1.56863157413121e+001dB,1.12355981586771e+002°)
1.00000000000000e+002	(1.38485413346819e+001dB,1.07928082315329e+002°)
1.25892541179417e+002	(1.19537221866425e+001dB,1.04328845900713e+002°)
1.58489319246112e+002	(1.00212662415550e+001dB,1.01426732376093e+002°)
1.99526231496888e+002	(8.06436799222677e+000dB,9.90991622420039e+001°)
2.51188643150958e+002	(6.09176004081796e+000dB,9.72388263137493e+001°)
3.16227766016838e+002	(4.10912255104907e+000dB,9.57552008354354e+001°)
3.98107170553498e+002	(2.12010937579583e+000dB,9.45736271071432e+001°)
5.01187233627273e+002	(1.27054324590511e-001dB,9.36333835284078e+001°)
6.30957344480194e+002	(-1.86855862721184e+000dB,9.28855089325965e+001°)
7.94328234724283e+002	(-3.86578856429393e+000dB,9.22907348910459e+001°)
1.00000000000000e+003	(-5.86403997371176e+000dB,9.18176681852781e+001°)
1.25892541179417e+003	(-7.86293638072487e+000dB,9.14412571756899e+001°)
1.58489319246112e+003	(-9.86223995651617e+000dB,9.11415272842446e+001°)
1.99526231496888e+003	(-1.18618005298387e+001dB,9.09025522476774e+001°)
2.51188643150959e+003	(-1.38615233108588e+001dB,9.07116235461759e+001°)
3.16227766016839e+003	(-1.58613484858618e+001dB,9.05585824396776e+001°)
3.98107170553498e+003	(-1.78612383283944e+001dB,9.04352833973305e+001°)
5.01187233627273e+003	(-1.98611690647365e+001dB,9.03351625343083e+001°)
6.30957344480195e+003	(-2.18611257458146e+001dB,9.02528891720839e+001°)
7.94328234724283e+003	(-2.38610990218230e+001dB,9.01840825175173e+001°)
1.00000000000000e+004	(-2.58610831246148e+001dB,9.01250786493130e+001°)
1.25892541179417e+004	(-2.78610746228644e+001dB,9.00727355418133e+001°)
1.58489319246112e+004	(-2.98610716815005e+001dB,9.00242658128959e+001°)
1.99526231496889e+004	(-3.18610736656375e+001dB,8.99770883250401e+001°)
2.51188643150959e+004	(-3.38610810035444e+001dB,8.99286907563002e+001°)
3.16227766016839e+004	(-3.58610952790784e+001dB,8.98764958354766e+001°)
3.98107170553498e+004	(-3.78611195735315e+001dB,8.98177241306650e+001°)
5.01187233627274e+004	(-3.98611591306470e+001dB,8.97492461028587e+001°)
6.30957344480195e+004	(-4.18612224882774e+001dB,8.96674155799129e+001°)
7.94328234724284e+004	(-4.38613233207638e+001dB,8.95678758489284e+001°)
1.00000000000000e+005	(-4.58614833892423e+001dB,8.94453281719486e+001°)
1.25892541179417e+005	(-4.78617372355113e+001dB,8.92932506588293e+001°)
1.58489319246112e+005	(-4.98621396296490e+001dB,8.91035530469887e+001°)
1.99526231496889e+005	(-5.18627773714496e+001dB,8.88661500418393e+001°)
2.51188643150959e+005	(-5.38637879742029e+001dB,8.85684325649844e+001°)
3.16227766016839e+005	(-5.58653892165000e+001dB,8.81946128699425e+001°)
3.98107170553499e+005	(-5.78679258224796e+001dB,8.77249168380337e+001°)
5.01187233627274e+005	(-5.98719430501674e+001dB,8.71345966883950e+001°)
6.30957344480196e+005	(-6.18783023316824e+001dB,8.63927436618883e+001°)
7.94328234724285e+005	(-6.38883620824500e+001dB,8.54609006902947e+001°)
1.00000000000000e+006	(-6.59042581374661e+001dB,8.42915246033716e+001°)
1.25892541179417e+006	(-6.79293331104358e+001dB,8.28264537520465e+001°)
1.58489319246112e+006	(-6.99687800667168e+001dB,8.09957478270735e+001°)
1.99526231496889e+006	(-7.20305744872119e+001dB,7.87176546293381e+001°)
2.51188643150959e+006	(-7.41267458491856e+001dB,7.59011040091335e+001°)
3.16227766016839e+006	(-7.62749347105911e+001dB,7.24530296644546e+001°)
3.98107170553499e+006	(-7.84999074984280e+001dB,6.82936221659253e+001°)
5.01187233627275e+006	(-8.08341862482065e+001dB,6.33821087804453e+001°)
6.30957344480196e+006	(-8.33163250597612e+001dB,5.77514506773048e+001°)
7.94328234724285e+006	(-8.59853003967934e+001dB,5.15405662744009e+001°)
1.00000000000000e+007	(-8.88711232940961e+001dB,4.50016644427541e+001°)
